kabupaten_kota,kecamatan,lat,long
Kota Pariaman,Kecamatan Pariaman Selatan,-0.637554415,100.158314
Kota Pariaman,Kecamatan Pariaman Tengah,-0.626366806,100.1284862
Kota Pariaman,Kecamatan Pariaman Timur,-0.601619644,100.1439953
Kota Pariaman,Kecamatan Pariaman Utara,-0.575525512,100.1147576
Kabupaten Padang Pariaman,Kecamatan Nan Sabaris,-0.652076246,100.193448
Kabupaten Padang Pariaman,Kecamatan Lubuk Alung,-0.679430997,100.3028337
Kabupaten Padang Pariaman,Kecamatan Batang Anai,-0.757162563,100.2919086
Kabupaten Padang Pariaman,Kecamatan Batang Gasan,-0.43771242,100.0120982
Kabupaten Padang Pariaman,Kecamatan 2 x 11 Enam Lingkung,-0.587208101,100.2813225
Kabupaten Padang Pariaman,Kecamatan 2 x 11 Kayu Tanam,-0.537844035,100.3368977
Kabupaten Padang Pariaman,Kecamatan Sungai Limau,-0.502521118,100.0738006
Kabupaten Padang Pariaman,Kecamatan Sungai Geringging,-0.434945587,100.1026706
Kabupaten Padang Pariaman,Kecamatan Enam Lingkung,-0.633101376,100.2593025
Kabupaten Padang Pariaman,Kecamatan IV Koto Aur Malintang,-0.367952418,100.0818268
Kabupaten Padang Pariaman,Kecamatan Padang Sago,-0.533535278,100.2100562
Kabupaten Padang Pariaman,Kecamatan Patamuan,-0.511715563,100.2543256
Kabupaten Padang Pariaman,Kecamatan Sintuk Toboh Gadang,-0.666185904,100.2474584
Kabupaten Padang Pariaman,Kecamatan Ulakan Tapakis,-0.699327631,100.2128582
Kabupaten Padang Pariaman,Kecamatan V Koto Kampung Dalam,-0.486234233,100.1509051
Kabupaten Padang Pariaman,Kecamatan V Koto Timur,-0.505865229,100.1762533
Kabupaten Padang Pariaman,Kecamatan VII Koto Sungai Sarik,-0.583268105,100.1937222
